,sdom,n_obs,T_mean_mod,T_mean_obs,T_bias,T_std_mod,T_std_obs,T_rmse,T_crmse,T_nrmse,T_ncrmse,T_pears,T_wss,S_mean_mod,S_mean_obs,S_bias,S_std_mod,S_std_obs,S_rmse,S_crmse,S_nrmse,S_ncrmse,S_pears,S_wss
GI_30->150,GI,1832.0,9.68,9.6,0.08,1.41,1.04,0.6,0.6,0.58,0.58,0.93,0.94,29.84,30.25,-0.41,0.98,0.7,0.75,0.63,1.07,0.9,0.77,0.8
GI_>150,GI,175.0,8.78,8.65,0.13,0.68,0.68,0.38,0.36,0.55,0.52,0.86,0.92,31.57,31.68,-0.1,1.06,0.84,0.48,0.46,0.57,0.55,0.91,0.93
HS_Full,HS,800.0,10.01,9.8,0.2,1.86,1.46,0.59,0.55,0.4,0.38,0.97,0.97,30.54,30.69,-0.16,1.55,1.05,0.67,0.65,0.64,0.62,0.94,0.93
HS_0->30,HS,800.0,10.58,10.24,0.33,1.83,1.43,0.66,0.57,0.46,0.39,0.97,0.96,29.64,30.07,-0.43,1.24,0.84,0.78,0.66,0.94,0.78,0.87,0.86
HS_30->150,HS,610.0,9.13,9.18,-0.05,0.72,0.73,0.37,0.37,0.51,0.5,0.87,0.93,31.37,31.17,0.2,0.52,0.47,0.43,0.38,0.92,0.81,0.71,0.81
HS_>150,HS,442.0,8.69,8.63,0.06,0.55,0.61,0.35,0.34,0.57,0.56,0.83,0.9,32.03,31.89,0.14,0.55,0.6,0.36,0.33,0.59,0.55,0.84,0.9
JFS_Full,JFS,3675.0,8.74,8.62,0.12,0.83,0.84,0.47,0.46,0.57,0.55,0.85,0.91,32.23,32.21,0.02,0.81,0.81,0.48,0.48,0.59,0.59,0.83,0.91
JFS_0->30,JFS,3675.0,9.9,9.59,0.31,1.24,0.98,0.79,0.73,0.81,0.74,0.81,0.87,30.79,31.25,-0.46,0.71,0.67,0.88,0.75,1.32,1.12,0.41,0.6
JFS_30->150,JFS,3514.0,8.35,8.32,0.03,0.71,0.79,0.43,0.43,0.55,0.55,0.84,0.91,32.73,32.51,0.22,0.73,0.8,0.45,0.39,0.56,0.49,0.87,0.91
JFS_>150,JFS,448.0,7.37,7.08,0.29,0.53,0.61,0.52,0.43,0.86,0.71,0.72,0.79,33.84,33.76,0.07,0.27,0.3,0.21,0.19,0.68,0.64,0.78,0.86
PS_Full,PS,99.0,10.81,11.22,-0.41,1.57,1.75,0.91,0.81,0.52,0.46,0.89,0.92,29.77,29.85,-0.08,1.04,0.74,0.88,0.88,1.2,1.19,0.56,0.7
PS_0->30,PS,99.0,11.32,11.58,-0.25,1.69,1.85,0.77,0.73,0.42,0.39,0.92,0.95,29.18,29.58,-0.4,0.94,0.76,0.99,0.91,1.3,1.19,0.45,0.61
PS_30->150,PS,88.0,10.36,10.93,-0.57,1.41,1.72,1.09,0.93,0.64,0.54,0.84,0.88,30.2,30.08,0.12,0.91,0.61,0.72,0.71,1.19,1.17,0.62,0.74
PS_>150,PS,3.0,11.18,11.81,-0.63,0.33,0.49,0.75,0.41,1.52,0.83,0.57,0.55,30.96,30.68,0.28,0.36,0.24,0.3,0.12,1.26,0.5,1.0,0.79
