,sdom,n_obs,T_mean_mod,T_mean_obs,T_bias,T_std_mod,T_std_obs,T_rmse,T_crmse,T_nrmse,T_ncrmse,T_pears,T_wss,S_mean_mod,S_mean_obs,S_bias,S_std_mod,S_std_obs,S_rmse,S_crmse,S_nrmse,S_ncrmse,S_pears,S_wss
DI_Full,DI,3474.0,9.74,9.8,-0.06,1.32,1.12,0.63,0.63,0.56,0.56,0.88,0.93,29.28,29.38,-0.09,1.39,0.82,1.03,1.03,1.25,1.25,0.68,0.75
DI_0->30,DI,3465.0,10.24,10.41,-0.17,1.89,1.71,0.85,0.83,0.5,0.48,0.9,0.94,27.87,28.35,-0.48,0.97,0.91,1.14,1.03,1.25,1.13,0.4,0.61
DI_30->150,DI,3062.0,9.41,9.48,-0.06,0.94,0.74,0.45,0.45,0.61,0.6,0.88,0.92,29.96,29.72,0.25,1.04,0.47,0.85,0.81,1.82,1.74,0.66,0.67
DI_>150,DI,1118.0,9.34,9.29,0.04,0.48,0.47,0.33,0.33,0.71,0.7,0.76,0.86,30.87,30.61,0.26,0.54,0.23,0.46,0.38,1.98,1.62,0.81,0.68
SGN_Full,SGN,12288.0,9.4,9.48,-0.08,1.02,1.05,0.37,0.36,0.35,0.34,0.94,0.97,30.33,29.98,0.34,0.93,0.92,0.49,0.35,0.54,0.38,0.93,0.93
SGN_0->30,SGN,12272.0,10.13,10.51,-0.39,1.99,2.0,0.7,0.58,0.35,0.29,0.96,0.97,28.38,28.28,0.09,0.78,0.94,0.67,0.67,0.71,0.71,0.72,0.83
SGN_30->150,SGN,11388.0,8.95,9.09,-0.14,0.51,0.63,0.32,0.29,0.5,0.45,0.9,0.92,30.56,30.09,0.47,0.28,0.39,0.52,0.24,1.36,0.61,0.79,0.62
SGN_>150,SGN,8347.0,9.25,9.12,0.13,0.34,0.43,0.31,0.28,0.71,0.64,0.77,0.83,31.25,30.94,0.3,0.16,0.19,0.34,0.15,1.77,0.8,0.64,0.52
SGS_Full,SGS,3834.0,9.42,9.56,-0.14,1.3,1.23,0.42,0.4,0.34,0.32,0.95,0.97,29.23,28.84,0.38,5.06,4.54,1.45,1.4,0.32,0.31,0.96,0.98
SGS_0->30,SGS,3832.0,10.08,10.33,-0.25,1.88,1.84,0.65,0.6,0.35,0.33,0.95,0.97,27.84,27.4,0.44,4.83,4.34,1.6,1.54,0.37,0.35,0.95,0.97
SGS_30->150,SGS,3437.0,9.13,9.26,-0.13,0.83,0.86,0.32,0.3,0.38,0.35,0.94,0.96,30.61,30.1,0.51,0.34,0.39,0.55,0.2,1.4,0.51,0.86,0.65
SGS_>150,SGS,1136.0,9.21,9.13,0.08,0.47,0.57,0.31,0.3,0.54,0.52,0.85,0.91,31.26,30.89,0.37,0.25,0.28,0.39,0.14,1.42,0.51,0.86,0.66
GI_Full,GI,2473.0,10.27,10.23,0.04,1.96,1.67,0.7,0.7,0.42,0.42,0.94,0.96,29.1,29.63,-0.53,1.26,1.32,1.18,1.06,0.9,0.8,0.66,0.76
GI_0->30,GI,2473.0,10.77,10.7,0.07,2.16,1.87,0.73,0.73,0.39,0.39,0.94,0.97,28.51,29.11,-0.6,1.14,1.19,1.25,1.1,1.05,0.92,0.56,0.67
